id,name,category,qty_vehicle,qty_order,sourcing,material,spec,supplier,supplier_part_number,supplier_url,unit_cost_usd,order_cost_usd,order_details,notes
HAR-0024,"Harness, PPP2ETH B",Harness,1,1,harness,,,,,,,,,
HAR-0025,"Harness, PPP2ETH C",Harness,1,1,harness,,,,,,,,,
HAR-0026,"Harness, Remote ID",Harness,1,1,harness,,,,,,,,,
HAR-0027,"Harness, SIYI Camera",Harness,1,1,harness,,,,,,,,,
HAR-0028,"Harness, Antenna",Harness,1,1,harness,,,,,,,,,
HSUP-001,"XT30 Male Connector, Amass XT30U-M",Harness,1,1,cots,,,TME,XT30U-M,https://www.tme.com/us/en-us/details/xt30u-m/dc-power-connectors/amass/,0.83,0.83,,
HSUP-002,"XT60 Male Connector, Amass XT60U-M",Harness,4,4,cots,,,TME,XT60U-M,https://www.tme.com/us/en-us/details/xt60u-m/dc-power-connectors/amass/,0.70,2.80,,
HSUP-003,"Pluggable Terminal Block, Phoenix PTSM 0,5/2-P-2,5 WH",Harness,1,1,cots,,,Mouser,1704853,https://mou.sr/3TUNxPr,,,,
HSUP-004,"Pluggable Terminal Block, Phoenix PTSM 0,5/4-P-2,5 WH",Harness,18,18,cots,,,Mouser,1704857,https://mou.sr/4bSpp8f,,,,
HSUP-005,"Pluggable Terminal Block, Phoenix PTSM 0,5/5-P-2,5 WH",Harness,5,5,cots,,,Mouser,1704858,https://mou.sr/4nxik2l,,,,
HSUP-006,"Pluggable Terminal Block, Phoenix PTSM 0,5/6-P-2,5 WH",Harness,5,5,cots,,,Mouser,1704859,https://mou.sr/44ach9V,,,,
HSUP-007,"Hook-Up Wire Kit, 26 AWG PTFE, 10 colors",Harness,1,1,cots,,15 feet per color,Remington Industries,,https://www.remingtonindustries.com/hook-up-wire/custom-hook-up-wire-26-awg-ptfe-stranded-kit-2-spool-sizes-available-choose-10-colors/,,,,
HSUP-008,"Molex 12-Pin Connector, 207760-1281",Harness,6,6,cots,,,Mouser,207760-1281,https://www.mouser.com/ProductDetail/Molex/207760-1281,1.51,9.06,,
HSUP-009,"Molex MLP Receptacle Housing, 204523-1201, 12 circuits",Harness,6,6,cots,,,Mouser,204523-1201,https://www.mouser.com/ProductDetail/Molex/204523-1201,0.42,2.52,,Cable-side connector; does not go on the PCB.
